year,n_valid,mean,median,std,p10,p90,pct_ge_20,ha_ge_20,pct_ge_50,ha_ge_50,pct_ge_80,ha_ge_80,pct_ge_95,ha_ge_95
2017,10000,0.2743353,0.14238008856773376,0.2994381785392761,0.007206216175109149,0.7943172693252564,43.39,1521771.4766,22.97,805602.4617999999,9.77,342652.8538,3.04,106618.6976
2018,10000,0.34799019,0.24079087376594543,0.32415077090263367,0.012463634461164474,0.880919885635376,53.76,1885467.4944,31.41,1101609.6354,14.71,515908.23740000004,4.95,173606.103
2019,10000,0.25041384,0.11308907717466354,0.28751540184020996,0.007028286531567574,0.7474895238876343,39.51,1385692.3494,20.21,708803.9074,8.06,282679.83640000003,2.87,100656.4678
2020,10000,0.23160164,0.09158683568239212,0.28669092059135437,0.0036183225456625223,0.7401656925678256,36.02,1263291.2788,18.790000000000003,659001.7526,8.03,281627.67819999997,2.79,97850.7126
2021,10000,0.28519732,0.15394091606140137,0.3034786880016327,0.006708093313500286,0.8092450380325318,44.99,1577886.5806,24.29,851897.4226,10.489999999999998,367904.6506,3.1199999999999997,109424.4528
2022,10000,0.47029254,0.4411231577396393,0.35961610078811646,0.019216687418520454,0.9675769448280335,66.08000000000001,2317553.7952,46.5,1630845.2100000002,28.42,996744.5348,12.839999999999998,450323.70959999994
2023,10000,0.31822547,0.19014248251914978,0.32181623578071594,0.006203706050291661,0.8591857135295868,48.949999999999996,1716771.463,28.62,1003758.9228000001,13.28,465755.3632,4.8,168345.312
2024,10000,0.19507869,0.06197249889373779,0.2631838619709015,0.002881600055843592,0.646809619665146,31.44,1102661.7936,14.69,515206.79860000004,5.71,200260.7774,1.82,63830.9308
