Model,ROC_AUC,Avg_Precision,Precision_0.5,Recall_0.5,F1_0.5,Precision_0.4,Recall_0.4,F1_0.4
Baseline,0.87928125,0.019946085271876964,0.010657193605683837,0.6,0.020942408376963352,0.0023234200743494425,1.0,0.004636068613815485
Engineered,0.8997031249999999,0.04864312420564676,0.014742014742014743,0.6,0.02877697841726619,0.012072434607645875,0.6,0.023668639053254437
