lat,lon,bec_zone,map_label,prob_2017,prob_2018,prob_2019,prob_2020,prob_2021,prob_2022,prob_2023,prob_2024,rank_2017,rank_2018,rank_2019,rank_2020,rank_2021,rank_2022,rank_2023,rank_2024,trend_slope,trend_pvalue,trend_class,top_k_years,consistent_core
50.969915,-124.419598,CWH,CWHms1,0.9044139,0.62933874,0.3935866,0.26068357,0.65528756,0.9779089,0.95854086,0.840794,94.89999999999999,75.47,73.89,68.47,83.26,92.17,95.76,95.3,3.4475,0.27509922,stable,2,False
50.804397,-125.584358,CWH,CWHvm2,0.3434472,0.42641923,0.024772314,0.058355067,0.055136755,0.28844324,0.06629257,0.008407,68.46,63.800000000000004,24.83,43.07,33.2,40.239999999999995,33.48,21.11,-5.86,0.061011903,declining,0,False
52.46463,-126.38059,CWH,CWHms2,0.010233073,0.1110213,0.0155830765,0.021895483,0.0079516405,0.31571788,0.04916846,0.008045,13.07,36.25,18.86,29.549999999999997,11.3,42.14,29.409999999999997,20.560000000000002,0.705,0.9048611,stable,0,False
49.581642,-126.294587,CWH,CWHvm2,0.33279938,0.4096929,0.21888568,0.37183815,0.4246247,0.7238441,0.69332933,0.153456,67.86,62.67,62.239999999999995,75.14999999999999,71.26,66.69,81.23,64.41,0.642,0.71954364,stable,0,False
48.949877,-123.876772,CWH,CWHxm2,0.45904115,0.28762168,0.36406702,0.28546855,0.58599526,0.82451004,0.32769728,0.182634,74.83999999999999,54.05,72.33000000000001,70.16,79.86999999999999,73.76,61.199999999999996,67.04,-0.919,0.71954364,stable,0,False
52.897069,-131.737278,CWH,CWHvh3,0.002151122,0.011694674,0.0033799661,0.00060757366,0.0041504772,0.0072693545,0.0039446517,0.001585,3.3000000000000003,9.49,5.17,1.91,6.69,4.71,7.03,5.43,0.226,0.71954364,stable,0,False
49.459856,-123.145007,CWH,CWHvm2,0.42523038,0.8785353,0.7223716,0.55041516,0.53323865,0.89127415,0.76788276,0.329403,73.35000000000001,89.82,88.88000000000001,83.26,77.55,80.02,84.95,77.61,-0.97825,0.71954364,stable,0,False
49.292182,-125.783798,CWH,CWHvm2,0.35281268,0.4109788,0.5194342,0.39161783,0.43001822,0.43333167,0.17313026,0.169846,69.08,62.79,80.7,76.07000000000001,71.67999999999999,49.61,48.44,65.93,-2.912,0.27509922,stable,0,False
52.872818,-129.033551,CWH,CWHvh2,0.016214117,0.084985696,0.044795543,0.008063399,0.016886368,0.06952248,0.022991734,0.01238,17.88,32.14,33.77,17.380000000000003,18.27,21.18,20.990000000000002,26.090000000000003,0.58916664,0.71954364,stable,0,False
53.419522,-129.57051,CWH,CWHvh2,0.015348225,0.0097518815,0.012657314,0.007022534,0.06345348,0.06837372,0.019433472,0.00379,17.21,8.19,16.1,15.920000000000002,35.08,20.94,19.38,12.46,0.5366667,0.9048611,stable,0,False
