feature,importance
HT_TLSO,0.21700943
BEC_ZONE,0.17014247
BA_HA_LS,0.16076984
AGEB_TLSO,0.14445823
SI_M_TLSO,0.118189156
STEMS_HA_LS,0.098955564
VHA_WSV_LS,0.09047526
